NOMBRE CIENTIFICO,NOMBRE,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE,
Cypseloides lemosi,Vencejo Pechiblanco,AVES,Apodiformes,Apodidae,Cypseloides,lemosi,
Phaethornis stuarti,Ermitaño Cejiblanco,AVES,Apodiformes,Trochilidae,Phaethornis,stuarti,
Chlorestes notata,Colibrí Verdecito,AVES,Apodiformes,Trochilidae,Chlorestes,notata,
Amazilia chionogaster,Picaflor vientre blanco,AVES,Apodiformes,Trochilidae,Amazilia,chionogaster,
Schistes geoffroyi,colibrí picocuña,AVES,Apodiformes,Trochilidae,Schistes,geoffroyi,
Coeligena torquata,Coeligena torquata,AVES,Apodiformes,Trochilidae,Coeligena,torquata,
Coeligena violifer,Inca Gargantivioleta,AVES,Apodiformes,Trochilidae,Coeligena,violifer,
Eubucco versicolor, Cabezón versicolor,AVES,Piciformes,Capitonidae,Eubucco,versicolor,
Aulacorhynchus coeruleicinctis,tucanete pechiazul,AVES,Piciformes,Ramphastidae,Aulacorhynchus,coeruleicinctis,
Colaptes rivolii,carpintero candela,AVES,Piciformes,Picidae,Colaptes,rivolii,
Leptasthenura yanacensis,Tijeral Leonado,AVES,Passeriformes,Furnariidae,Leptasthenura,yanacensis,
Schizoeaca helleri,Colicardo de la Puna,AVES,Passeriformes,Furnariidae,Schizoeaca,helleri,
Rhea pennata,Ñandú Petizo (Suri),AVES,RHEIFORMES,RHEIDAE,Rhea,pennata,
Nothocercus julius,Perdiz de Pecho Leonado,AVES,TINAMIFORMES,TINAMIDAE,Nothocercus,julius,
Nothocercus bonapartei,Perdiz Montesa,AVES,TINAMIFORMES,TINAMIDAE,Nothocercus,bonapartei,
Nothocercus nigrocapillus,Perdiz de Cabeza Negra,AVES,TINAMIFORMES,TINAMIDAE,Nothocercus,nigrocapillus,
Tinamus tao,Perdiz Gris,AVES,TINAMIFORMES,TINAMIDAE,Tinamus,tao,
Tinamus osgoodi,Perdiz Negra,AVES,TINAMIFORMES,TINAMIDAE,Tinamus,osgoodi,
Tinamus major,Perdiz Grande,AVES,TINAMIFORMES,TINAMIDAE,Tinamus,major,
Tinamus guttatus,Perdiz de Garganta Blanca,AVES,TINAMIFORMES,TINAMIDAE,Tinamus,guttatus,
Crypturellus cinereus,Perdiz Cinérea,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,cinereus,
Crypturellus soui,Perdiz Chica,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,soui,
Crypturellus obsoletus,Perdiz Parda,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,obsoletus,
Crypturellus undulatus,Perdiz Ondulada,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,undulatus,
Crypturellus transfasciatus,Perdiz de Ceja Pálida,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,transfasciatus,
Crypturellus strigulosus,Perdiz Brasileña,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,strigulosus,
Crypturellus duidae,Perdiz de Pata Gris,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,duidae,
Crypturellus atrocapillus,Perdiz de Gorro Negro,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,atrocapillus,
Crypturellus variegatus,Perdiz Abigarrada,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,variegatus,
Crypturellus bartletti,Perdiz de Bartlett,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,bartletti,
Crypturellus parvirostris,Perdiz de Pico Corto,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,parvirostris,
Crypturellus casiquiare,Perdiz Barrada,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,casiquiare,
Crypturellus tataupa,Perdiz Tataupá,AVES,TINAMIFORMES,TINAMIDAE,Crypturellus,tataupa,
Rhynchotus rufescens,Perdiz de Ala Roja,AVES,TINAMIFORMES,TINAMIDAE,Rhynchotus,rufescens,
Nothoprocta taczanowskii,Perdiz de Taczanowski,AVES,TINAMIFORMES,TINAMIDAE,Nothoprocta,taczanowskii,
Nothoprocta ornata,Perdiz Cordillerana,AVES,TINAMIFORMES,TINAMIDAE,Nothoprocta,ornata,
Nothoprocta pentlandii,Perdiz Andina,AVES,TINAMIFORMES,TINAMIDAE,Nothoprocta,pentlandii,
Nothoprocta curvirostris,Perdiz de Pico Curvo,AVES,TINAMIFORMES,TINAMIDAE,Nothoprocta,curvirostris,
Nothura darwinii,Perdiz de Darwin,AVES,TINAMIFORMES,TINAMIDAE,Nothura,darwinii,
Tinamotis pentlandii,Perdiz de la Puna,AVES,TINAMIFORMES,TINAMIDAE,Tinamotis,pentlandii,
Anhima cornuta,Gritador Unicornio (Camungo),AVES,ANSERIFORMES,ANHIMIDAE,Anhima,cornuta,
Chauna torquata ,Gritador Chajá,AVES,ANSERIFORMES,ANHIMIDAE,Chauna,torquata ,
Dendrocygna bicolor,Pato-Silbón Canelo,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,bicolor,
Dendrocygna viduata ,Pato-Silbón de Cara Blanca,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,viduata ,
Dendrocygna autumnalis,Pato-Silbón de Vientre Negro,AVES,ANSERIFORMES,ANATIDAE,Dendrocygna,autumnalis,
Oressochen jubatus,Ganso del Orinoco,AVES,ANSERIFORMES,ANATIDAE,Oressochen,jubatus,
Oressochen melanopterus,Cauquén Huallata,AVES,ANSERIFORMES,ANATIDAE,Oressochen,melanopterus,
