NRO,NOMBRE,CLASE,ORDEN,FAMILIA,GENERO,ESPECIE
1,Perro,Mamífero,Carnivora,Canidae,Canis,Canis lupus familiaris
2,Gato Montes,Mamífero,Carnivora,Felidae,Leopardus,Leopardus jacobitus
3,vaca,Mamífero,Artiodactyla,Bovidae,Bos,Bos primigenius
4,Rata de alcantarilla,Mamífero,Rodentia,Muridae,Rattus,Rattus norvegicus
5,zorro andino,Mamífero,Carnivora,canidae,Lycalopex,Lycalopex culpaeus
6,Oso de anteojos,Mamífero,Carnivora,Ursidae,Tremarctos,Tremarctos ornatus
7,Carollia manu,Mamífero,Chiroptera,Phyllostomidae,Carollia,Carollia manu
8,Oveja,Mamífero,Artiodactyla,Bovidae,Ovis,Ovis orientalis
9,Venado enano,Mamífero,Cetartiodactyla,Cervidae,Mazama,Mazama chunyi
10,Llama,Mamífero,Artiodactyla,Camelidae,Lama,Lama glama
11,Armadillo de nariz grande,Mamífero,Cingulata,Dasypodidae,Dasypus,Dasypus kappleri
12,Mono choro de cola amarilla,Mamífero,Primates,Atelidae,Oreonax,Oreonax flavicauda
13,Burro,Mamífero,Perissodactyla,Equidae,Equus,Equus africanus asinus
14,Majáz,Mamífero,Rodentia,Agoutidae,Cuniculus,Cuniculus paca
15,Ronsoco,Mamífero,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris
16,"Sajino, monte chancho",Mamífero,Artiodactyla,Taysassuidae,Tayassu,Tayassu pecari
17,"Sachavaca, tapir",Mamífero,Perisodactyla,Tapiridae,Tapirus,Tapirus terrestris
18,Venado colorado,Mamífero,Artiodactyla,Cervidae,Mazama,Mazama americana
19,Mono aullador rojo,Mamífero,Primates,Atelidae,Alouatta,Alouatta seniculus
20,"Mono araña, maquisapa",Mamífero,Primates,Atelidae,Ateles,Ateles chamek
21,"Mono araña negro, maquisapa",Mamífero,Primates,Atelidae,Ateles,Ateles paniscus
22,"Mono pichico, mono leoncito",Mamífero,Primates,Callitrichidae,Saguinus,Saguinus fuscicollis
23,Mono capuchino,Mamífero,Primates,Cebidae,Sapajus,Sapajus apella
24,Mono choro común,Mamífero,Primates,Cebidae,Lagothix,Lagothrix lagotricha
25,Mono ardilla,Mamífero,Primates,Cebidae,Saimiri,Saimiri boliviensis
26,Vicuña,Mamífero,Cetartiodactyla,Camelidae,Vicugna,Vicugna vicugna
27,Quirquincho andino,Mamífero,Cingulata,Dasypodidae,Chaetophractus,Chaetophractus nationi
28,Zarigüeyita lanuda,Mamífero,Didelphimorphia,Didelphidae,Caluromys,Caluromys lanatus
29,Comadrejita marsupial ratona,Mamífero,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina
